employee_id,rmse,mae,mape,r2,n_test
1,25.51699302273543,19.207346361601708,1.0807341142995923,-5.96805191188045,6
2,14.332221874468761,10.292674540554799,0.4164631689364197,-0.5864418885027682,6
3,21.963278475194727,16.936429588198962,0.8324198559922089,-1.9560285877866517,6
4,134.2845778821105,127.03974720156164,5.408663364656685,-11.965026960634434,6
5,233.8403104812804,231.352342847657,9.264467356065563,-75.87557754574948,6
6,26.99784236953676,26.218822703754466,0.7141315622222677,0.766120745775971,6
7,35.01579577731973,29.157330090136004,1.2330217810591855,0.25939529698695296,6
8,83.33807358685408,62.25915717436919,1.8659197413671762,-0.07684196022175716,6
9,754.8048966193495,709.4759715361128,15.418310128479826,-1279.6783962658176,6
10,532.0451994893984,531.3475919957303,14.896410212444644,-110.5897558073227,6
11,67.76495523420502,64.06612401149307,2.239011091788595,-16.67019165254612,6
12,235.47591272801446,233.88646691739982,7.513658206159674,-42.95378288731159,6
13,98.11775646809082,85.34093471371102,2.8386467499351027,-18.662011596119445,6
14,181.55436829640388,166.62663463689532,4.066425497305335,-7.091473924312414,6
15,161.8191602402483,135.97257901514172,3.5199916888137386,0.21123010949107401,6
16,32.089531036087365,29.03140518342199,0.8363102348842322,-0.6548507909117569,6
17,385.7079038528493,381.2068389745384,9.721158643026834,-984.8666416550917,6
18,717.8928415654982,716.7126861497842,18.714419739183434,-1027.6371125017456,6
19,96.91660337936752,86.00751103420264,3.3260489234412494,-111.23422832953851,6
20,41.072390569537994,34.33772147875387,0.9849735865819489,-0.20638560422453112,6
21,392.92888400671893,388.0341953420207,13.619035304478336,-34.306810274013884,6
22,235.81183332209162,206.00595507328046,10.713127054662753,-66.01940735768028,6
23,32.037874694487826,27.51568978024356,1.4857348415270177,-3.064132806275593,6
24,92.11868219465114,91.64948786674556,4.853263685414881,-98.7478955436989,6
25,89.10397560111653,88.60211282908885,5.068786833053018,-30.646699992045562,6
26,71.54870507242012,67.61756153521776,3.8406790643513244,-55.20610467829858,6
27,44.31127240036788,43.81493026963881,2.2829255740843126,-12.546199627575334,6
28,81.2636309244037,76.0341715321777,4.462780772577283,-30.546010578831268,6
29,225.62536856927397,217.78702511647884,12.867654821584948,-337.7682963911174,6
30,27.54907647314684,25.329663420317882,1.683826434080128,-6.098415981910659,6
