employee_id,rmse,mae,mape,r2,n_test
1,192.81701361308285,191.97196296296227,10.841863778285164,-396.87173892870453,6
2,116.2041710975035,113.14529629629494,4.561797387303438,-103.28949325453355,6
3,145.94959914167032,143.2558518518508,7.0203195391047375,-129.53293606589017,6
4,153.32510097259407,151.78418518518401,6.450866232855031,-15.902372410990793,6
5,200.4683653032858,195.28196296296264,7.828959684171512,-55.499074207322266,6
6,56.80236384771836,51.146765432098164,1.3866611231642427,-0.035300453949706156,6
7,105.81008607175292,99.91974074074112,4.218100352096124,-5.762582862188848,6
8,68.53140290780351,38.03802469135788,1.125234199771546,0.2718106882036392,6
9,330.7149052483142,329.4552592592606,7.158853780055628,-244.85452361950695,6
10,594.7639234497756,593.598037037036,16.639297800468846,-138.44935329713002,6
11,284.15606861545706,282.68974074073935,9.87679845818281,-309.70255134046215,6
12,117.0147567954871,103.49859259259377,3.3081470654668057,-9.853868344808884,6
13,251.70452104450675,251.35085185185258,8.374743110237377,-128.39418577384023,6
14,49.71136695456042,43.28009876543016,1.067411383359844,0.3933675409753956,6
15,275.6069540881621,217.91470370370317,5.586433285031262,-1.2880777652387696,6
16,111.69608004745842,107.69807407407325,3.111791820085189,-19.049703988775466,6
17,37.19397290030206,33.309839506173375,0.8504344634963518,-8.167401145921469,6
18,735.362488933001,735.0808148148147,19.19588332647944,-1078.3092246188157,6
19,106.18553593874275,103.72807407407375,4.013349203413971,-133.72856417313977,6
20,52.07545824557834,42.93307407407391,1.2341873488764097,-0.9393329855712453,6
21,285.19950224570727,279.5647037037041,9.803758551684066,-17.60064913642017,6
22,111.11708918679818,100.50029629629516,5.226087015927536,-13.880965367155987,6
23,161.23864400656305,160.79196296296212,8.70470177863042,-101.9387211689134,6
24,142.0659892947124,141.15862962962964,7.471007812161388,-236.24034594159372,6
25,91.21106557280977,90.4980370370376,5.1818691499359755,-32.16113033418163,6
26,16.84329394113224,11.438271604938677,0.6532262962815258,-2.1148274072234776,6
27,196.04792417928115,193.88307407407328,10.104739989678897,-264.1633675270214,6
28,89.21351840638117,86.9569629629624,5.104932227548404,-37.02010687874441,6
29,27.033341705205533,20.10400000000027,1.1850715762311304,-3.863247483458485,6
30,81.54678612824078,80.29974074074103,5.348804375518662,-61.19579970165262,6
