employee_id,rmse,mae,mape,r2,n_test
1,21.31543008566255,16.050615615615737,0.9046703734976627,-3.862286975202447,6
2,19.61156470396276,17.464774774775076,0.7044970518291275,-1.9704456681568967,6
3,18.238782970355032,16.56174924924922,0.8122118989834256,-1.0384778872761946,6
4,142.32208765042907,138.0461261261261,5.878079267674994,-13.563499952155446,6
5,231.91672223334177,228.20220720720673,9.144074268309648,-74.6160108470409,6
6,30.643091944086027,28.684992492492864,0.7823240114975969,0.6987002618599465,6
7,50.89630194309032,44.04433183183179,1.8623456931196551,-0.5646994168314119,6
8,91.66815983365233,65.7086036036031,1.9637408511305248,-0.3028729939276569,6
9,759.7900320529428,721.4787837837825,15.67580384159645,-1296.650830149406,6
10,513.2631036938016,512.886126126126,14.382783348286768,-102.85020562328994,6
11,75.1464967762208,68.251936936937,2.3861211561218916,-20.729434633530456,6
12,244.3683522342788,241.74608108108086,7.760432687901893,-46.3361793287619,6
13,94.61309491731312,85.95000000000012,2.859745053681789,-17.282485077253007,6
14,178.40487499144461,164.56810810810816,4.016678308222357,-6.813177098384535,6
15,150.42552813662542,128.04887387387348,3.318477529628936,0.31839380687654106,6
16,26.865756964778406,23.337222222222334,0.6742566184462687,-0.1599259501760022,6
17,405.09135577246997,403.5804504504503,10.290687076267355,-1086.4443639557426,6
18,732.6272616760796,731.4583783783788,19.101226759445588,-1070.2950392646962,6
19,90.13476329738361,78.3386936936942,3.0288934732071726,-96.07638600293036,6
20,43.980243487501305,38.229219219219054,1.0982257517330885,-0.38325243244022533,6
21,393.09764202579146,388.28630630630687,13.627647143695684,-34.33714444955181,6
22,234.0365111869821,216.1788738738741,11.228571575950063,-65.01408749643171,6
23,21.674481281082645,19.042545045044942,1.0265416228579902,-0.860106967792319,6
24,90.79372765882505,90.11819819819823,4.770777877585319,-95.8991578860768,6
25,95.30269877515879,94.11081081081095,5.383393131574977,-35.20300872895057,6
26,64.30998506275697,62.898873873873946,3.5753661641390355,-44.40845747462373,6
27,45.96654170970489,44.347792792793335,2.313438588619418,-13.577152296379351,6
28,80.86807329072944,73.79351351351352,4.334876950724745,-30.23965223264062,6
29,249.97876612350439,248.15310810810777,14.663410758633535,-414.8465884378729,6
30,32.89600586710735,31.393423423423354,2.0894029452636365,-9.121239413060295,6
