Model,Method,RMSE,MAE,NRMSE
AR(1),Train/Val/Test,271.48279138402563,245.16527710461202,0.7638481254545849
AR(2),Train/Val/Test,265.26691387740163,239.70601012323363,0.7545466206748691
AR(3),Train/Val/Test,274.0146595383693,242.56485135414889,0.8182767575294564
AR(4),Train/Val/Test,272.3081848449236,240.69192126930136,0.7966185202459898
Ridge,Train/Val/Test,402.55801671724765,301.85658658849775,0.08862368359789968
Lasso,Train/Val/Test,372.1039426190363,277.5271623330185,0.08191917861957107
Pooled FE,Train/Val/Test,359.3404433095014,269.62040937740585,0.0791092772452687
XGBoost,Train/Val/Test,493.36928744135594,361.55073769227926,0.10861590581075262
Unpooled,Train/Val/Test,276.4813557387261,247.68470922677062,0.7875941731115129
