employee_id,role,salaire_brut,cot_salariale,cot_patronale,net_imposable,pas,net_paye,avantages,total_cost,month,test
00130,,3200.0,1141.12,1473.1000000000004,-3390.52,,3390.52,,4673.1,2025-11,3200.0
00140,,2800.0,1159.49,462.09000000000015,-2000.03,,2000.03,,3262.09,2025-06,2800.0
00140,,2800.0,1159.49,462.09000000000015,-2000.03,,2000.03,,3262.09,2025-07,2800.0
00140,,2800.0,1159.49,462.09000000000015,-2000.03,,2000.03,,3262.09,2025-08,2800.0
00140,,2800.0,1159.49,633.3400000000001,-2071.28,,2071.28,,3433.34,2025-09,2800.0
00140,,2900.0,1193.85,475.23,-2075.13,,2075.13,,3375.23,2025-10,2900.0
00140,,2900.57,1194.03,1475.2999999999997,-3075.57,,3075.57,,4375.87,2025-11,2900.57
00150,,3201.06,1338.59,562.0500000000002,-2338.25,,2338.25,,3763.11,2025-06,3201.06
00150,,3201.06,1338.59,562.0500000000002,-2338.25,,2338.25,,3763.11,2025-07,3201.06
00150,,3208.4,1341.24,563.1500000000001,-2343.85,,2343.85,,3771.55,2025-08,3208.4
00150,,3203.15,1339.3600000000001,662.3699999999999,-2339.84,,2339.84,,3865.52,2025-09,3203.15
00150,,3200.0,1338.23,561.9000000000001,-2332.21,,2332.21,,3761.9,2025-10,3200.0
00150,,3200.0,1338.23,1564.5,-3334.81,,3334.81,,4764.5,2025-11,3200.0
00160,,3000.0,1069.79,446.46000000000004,-2231.77,,2231.77,,3446.46,2025-06,3000.0
00160,,3000.0,1069.79,446.46000000000004,-2231.77,,2231.77,,3446.46,2025-07,3000.0
00160,,3000.0,1069.79,441.2600000000002,-2226.57,,2226.57,,3441.26,2025-08,3000.0
00160,,3000.0,1069.79,549.06,-2234.37,,2234.37,,3549.06,2025-09,3000.0
00160,,3000.0,1069.79,449.05999999999995,-2278.58,,2278.58,,3449.06,2025-10,3000.0
00160,,3000.0,1069.79,1449.0600000000004,-3278.58,,3278.58,,4449.06,2025-11,3000.0
00170,,5417.0,3604.8399999999997,2371.1899999999996,-4090.55,,4090.55,,7788.19,2025-06,5417.0
00170,,5417.0,3604.8399999999997,2371.1899999999996,-4090.55,,4090.55,,7788.19,2025-07,5417.0
00170,,5417.0,3604.8399999999997,2363.3900000000003,-4082.75,,4082.75,,7780.39,2025-08,5417.0
00170,,5417.0,3604.8399999999997,2468.59,-4087.95,,4087.95,,7885.59,2025-09,5417.0
00170,,5417.0,3604.8399999999997,2376.3900000000003,-4188.55,,4188.55,,7793.39,2025-10,5417.0
00170,,5417.0,3700.14,3373.790000000001,-5090.65,,5090.65,,8790.79,2025-11,5417.0
00180,,3903.3,1391.9099999999999,575.9399999999996,-3087.33,,3087.33,,4479.24,2025-06,3903.3
00180,,3903.3,1391.9099999999999,575.9399999999996,-3087.33,,3087.33,,4479.24,2025-07,3903.3
00180,,3200.0,1141.12,478.3000000000002,-2537.18,,2537.18,,3678.3,2025-08,3200.0
00180,,3200.0,1141.12,580.9000000000001,-2539.78,,2539.78,,3780.9,2025-09,3200.0
00180,,3200.0,1141.12,475.6999999999998,-2476.95,,2476.95,,3675.7,2025-10,3200.0
00180,,3200.0,1141.12,1478.3000000000002,-3479.55,,3479.55,,4678.3,2025-11,3200.0
00190,,4250.0,1753.94,753.0100000000002,-2905.89,,2905.89,,5003.01,2025-06,4250.0
00190,,4250.0,1753.94,753.0100000000002,-2905.89,,2905.89,,5003.01,2025-07,4250.0
00190,,4750.0,1974.5100000000002,867.1899999999996,-3181.61,,3181.61,,5617.19,2025-08,4750.0
00190,,4250.0,1753.94,860.8100000000004,-2913.69,,2913.69,,5110.81,2025-09,4250.0
00190,,4250.0,1753.94,758.21,-2911.09,,2911.09,,5008.21,2025-10,4250.0
00190,,4250.0,1753.94,1760.8100000000004,-3913.69,,3913.69,,6010.81,2025-11,4250.0
00200,,6747.71,4603.06,3096.6500000000005,-4657.79,,4657.79,,9844.36,2025-06,6747.71
00200,,6747.71,4603.06,3096.6500000000005,-4657.79,,4657.79,,9844.36,2025-07,6747.71
00200,,4747.71,3020.5600000000004,1929.33,-3245.98,,3245.98,,6677.04,2025-08,4747.71
00200,,4747.71,3185.95,2210.3199999999997,-3261.58,,3261.58,,6958.03,2025-09,4747.71
00200,,4747.71,3185.95,2107.7200000000003,-3394.52,,3394.52,,6855.43,2025-10,4747.71
00200,,9747.71,7007.76,5770.290000000001,-7879.31,,7879.31,,15518.0,2025-11,9747.71
