employee_id,rmse,mae,mape,r2,n_test
1,300.77810256636536,300.23691229117213,16.956112133184273,-967.1548342592712,6
2,113.34018287897007,110.19922615595108,4.4431120646588225,-98.21216823641592,6
3,145.27876771336852,142.57268840272874,6.986868390662836,-128.33575078281572,6
4,150.8737371138276,149.30953002335482,6.345898211059694,-15.366222204800401,6
5,197.06037508243264,191.78051529038967,7.688923536392155,-53.594418396320094,6
6,63.562731921216894,56.89250273261905,1.541273840760661,-0.29639902407869534,6
7,103.61430563748668,97.60150055742481,4.120722927168386,-5.4848197063268325,6
8,70.84870977326247,37.41053132406258,1.102827670756993,0.22173240693934781,6
9,342.87476747680194,341.66101325473284,7.424155652081573,-263.26625966709497,6
10,599.7772299856233,598.6226707132944,16.780269458236198,-140.81011768731202,6
11,278.19921112317945,276.7006626200388,9.667638769570454,-296.81237271034286,6
12,121.65990702029384,108.71857310740127,3.4759853657905087,-10.732707431236415,6
13,245.13289617113614,244.76964972869473,8.155502307442875,-121.72581422784671,6
14,54.26710174348392,50.619316728936155,1.2447711635655112,0.2770845793165364,6
15,282.16945849225044,226.16838894533916,5.805625731737946,-1.398338324383988,6
16,103.67079530708614,99.34563499572884,2.870816724791082,-16.272092762582528,6
17,32.42836047241843,29.846020769427696,0.7615343319371568,-5.968688931403432,6
18,741.0621689929687,740.7820813946936,19.344777195253908,-1095.1051799741467,6
19,102.80207911207079,100.26315801598798,3.8793340396412517,-125.27947013523729,6
20,45.55125889210783,36.41208028652235,1.0469790086043615,-0.4838395815923884,6
21,287.9015352771017,282.321620989537,9.900863555832718,-17.95477074052583,6
22,111.24483065423996,100.63929061267356,5.233270193107745,-13.915199687446098,6
23,161.5357956959754,161.0905889552154,8.720863291359004,-102.31848870241487,6
24,142.24076116513345,141.33392228854834,7.4802866809497965,-236.82441878539726,6
25,88.98456867477809,88.25532264699468,5.053469431924499,-30.561938270278894,6
26,16.964591157144255,11.021135342604188,0.6294370652080759,-2.159851893739102,6
27,195.76446238081908,193.59536796074,10.089760875891386,-263.39713297982604,6
28,90.67289599037396,88.45145451690962,5.192612236903062,-38.27416606836806,6
29,26.029570494578735,20.091135342604087,1.1846852030876436,-3.508799328964826,6
30,84.16754771056435,82.95770681893578,5.525926819008253,-65.25775319095486,6
