employee_id,rmse,mae,mape,r2,n_test
1,244.43276684961478,243.76671498569087,13.766965809077107,-638.3979438043215,6
2,112.0356510034819,108.8597069132724,4.38914319136843,-95.94147134798101,6
3,141.7503805569995,138.975263943614,6.810739228125616,-122.12968280265089,6
4,149.09369830481268,147.50858672738477,6.269518660546231,-14.982316355918359,6
5,196.31060385574096,191.01134196015974,7.6581579093213,-53.17976930308272,6
6,60.09256939806683,53.99053577456061,1.4631826881433314,-0.15871100843442898,6
7,101.79622500126575,95.65903877689902,4.039164106857369,-5.259242969418291,6
8,69.97449828620495,37.39766666619115,1.1035408934651978,0.24082020351205746,6
9,334.94975008690847,333.7060898207331,7.251248277364129,-251.1912312020026,6
10,599.0015719874613,597.8439496895135,16.758414867589984,-140.44356483867065,6
11,279.93727757119944,278.44873417382,9.728686673275279,-300.54519865679265,6
12,120.77773500346403,107.73470486897675,3.444354192931668,-10.563173509041025,6
13,247.4793381559763,247.1196220993451,8.233787774387201,-124.08655197345651,6
14,51.228376674999254,46.0976714096239,1.1355010991214076,0.35577819283718914,6
15,278.9567493339951,222.13620359535102,5.698534598335878,-1.3440355020192327,6
16,107.63616376520058,103.48142157578506,2.990136106860706,-17.61866435790494,6
17,34.96688731079111,31.905900587319213,0.81440145474456,-7.102425431147466,6
18,739.5678792917677,739.287807460107,19.305754615346153,-1090.6892283639277,6
19,102.08456424427372,99.52589394438958,3.850822325595741,-123.52286759341361,6
20,48.67297567051633,39.0769077039281,1.1238309290923008,-0.6941894770402226,6
21,289.31044593980437,283.757293484537,9.951425346101729,-18.1407435137907,6
22,107.34427141636479,96.31248440427196,5.009781111102076,-12.887598073595177,6
23,163.05062100256606,162.6089174729358,8.803066554075558,-104.26534271965446,6
24,137.91519093460062,136.98033908240373,7.249841580966816,-222.57977707083458,6
25,89.39918118983265,88.6715840731077,5.07729501111264,-30.856741313907957,6
26,16.977366455718716,11.034000000475507,0.6301431221566743,-2.1646127807813835,6
27,191.930803904814,189.71897987524412,9.88788897949861,-253.1431415851005,6
28,91.008506982308,88.7975781449873,5.212914262436469,-38.565438009328105,6
29,26.157370869829535,20.10400000047548,1.1854001100892526,-3.553182760371924,6
30,83.36911819955994,82.14974074537008,5.472082055645241,-64.00664805696515,6
